no,item_name,item_id,sku,outlet,warehouse,period_from,period_to,report_unit,report_qty,fo_price_stored,cost_implied_fo_div_112,matched_gr_number,matched_gr_date,matched_po_number,matched_po_price,matched_po_unit,matched_hpp_large,matched_sell_large,fo_tanggal_ref,match_method,price_reason
51,"Syrup Mint",52399,GC-20250620-2292,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Botol,1.000,123300.00,110089.29,GR-20260603-0043,2026-06-03,POF26051508,110000.00,Botol,110000.00,123300.00,2026-06-04,sell_line≈fo_stored,"FO simpan Rp 123.300 = jual +12% dari GR GR-20260603-0043 (2026-06-03), PO POF26051508, beli Rp 110.000/Botol (HPP Rp 110.000). Angka ~110.089 di laporan = FO÷1,12."
52,"Tabasco Sauce",52437,GC-20250620-3056,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,,,,,,,,,,,,,,"Tidak ada data FO/GR outlet"
53,"Teh Celup",52443,GC-20250620-6711,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,,,,,,,,,,,,,,"Tidak ada data FO/GR outlet"
54,"Tepung Easy Mix",52444,GC-20250620-8983,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Pack,5.000,32000.00,28571.43,GR-20260526-0033,2026-05-26,POF26051131,28500.00,Pack,28500.00,32000.00,2026-06-01,sell_line≈fo_stored,"FO simpan Rp 32.000 = jual +12% dari GR GR-20260526-0033 (2026-05-26), PO POF26051131, beli Rp 28.500/Pack (HPP Rp 28.500). Angka ~28.571 di laporan = FO÷1,12."
55,"Tepung Roti Kasar",52447,GC-20250620-8148,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Kilogram,3.500,22200.00,19821.43,GR-20260602-0064,2026-06-02,POF26051462,19800.00,Kilogram,19800.00,22200.00,2026-06-03,sell_line≈fo_stored,"FO simpan Rp 22.200 = jual +12% dari GR GR-20260602-0064 (2026-06-02), PO POF26051462, beli Rp 19.800/Kilogram (HPP Rp 19.800). Angka ~19.821 di laporan = FO÷1,12."
56,Thyme,52655,GC-20250620-8119,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Kilogram,0.100,268800.00,240000.00,GR-20260530-0010,2026-05-30,POF26051474,240000.00,Kilogram,240000.00,268800.00,2026-06-01,sell_line≈fo_stored,"FO simpan Rp 268.800 = jual +12% dari GR GR-20260530-0010 (2026-05-30), PO POF26051474, beli Rp 240.000/Kilogram (HPP Rp 240.000). Angka ~240.000 di laporan = FO÷1,12."
57,"Tissue Dinner",52815,GC-20260626-9048,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Pack,30.000,8900.00,7946.43,GR-20260528-0001,2026-05-28,POF26051243,7882.00,Pack,7882.00,8900.00,2026-06-01,sell_line≈fo_stored,"FO simpan Rp 8.900 = jual +12% dari GR GR-20260528-0001 (2026-05-28), PO POF26051243, beli Rp 7.882/Pack (HPP Rp 7.882). Angka ~7.946 di laporan = FO÷1,12."
58,"Tissue Pop Up",52817,GC-20260415-5235,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Pack,12.000,29600.00,26428.57,GR-20260617-0045,2026-06-17,POF26060696,26383.00,Pack,26383.00,29600.00,2026-06-17,sell_line≈fo_stored,"FO simpan Rp 29.600 = jual +12% dari GR GR-20260617-0045 (2026-06-17), PO POF26060696, beli Rp 26.383/Pack (HPP Rp 26.383). Angka ~26.429 di laporan = FO÷1,12."
59,"Tissue Roll",52818,GC-20260501-8570,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,,,,,,,,,,,,,,"Tidak ada data FO/GR outlet"
60,"Tissue Towel",52819,GC-20260424-9116,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Pack,168.000,6500.00,5803.57,GR-20260617-0045,2026-06-17,POF26060696,5748.00,Pack,5748.00,6500.00,2026-06-17,sell_line≈fo_stored,"FO simpan Rp 6.500 = jual +12% dari GR GR-20260617-0045 (2026-06-17), PO POF26060696, beli Rp 5.748/Pack (HPP Rp 5.748). Angka ~5.804 di laporan = FO÷1,12."
61,"Truffle Oil",52458,GC-20260203-3626,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Botol,6.000,209900.00,187410.71,GR-20260528-0055,2026-05-28,POF26051232,187404.00,Botol,187404.00,209900.00,2026-06-08,sell_line≈fo_stored,"FO simpan Rp 209.900 = jual +12% dari GR GR-20260528-0055 (2026-05-28), PO POF26051232, beli Rp 187.404/Botol (HPP Rp 187.404). Angka ~187.411 di laporan = FO÷1,12."
62,Dishwash,52717,GC-20250620-4999,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Galon,2.000,30300.00,27053.57,GR-20260530-0014,2026-05-30,POF26051333,27000.00,Galon,27000.00,30300.00,2026-06-01,sell_line≈fo_stored,"FO simpan Rp 30.300 = jual +12% dari GR GR-20260530-0014 (2026-05-30), PO POF26051333, beli Rp 27.000/Galon (HPP Rp 27.000). Angka ~27.054 di laporan = FO÷1,12."
63,"General Cleaner",55709,GC-20260416-8411,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,,,,,,,,,,,,,,"Tidak ada data FO/GR outlet"
64,Hairnet,52736,GC-20250620-6280,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Pack,2.000,44900.00,40089.29,GR-20260521-0008,2026-05-21,POF26050884,40000.00,Pack,40000.00,44900.00,2026-06-01,sell_line≈fo_stored,"FO simpan Rp 44.900 = jual +12% dari GR GR-20260521-0008 (2026-05-21), PO POF26050884, beli Rp 40.000/Pack (HPP Rp 40.000). Angka ~40.089 di laporan = FO÷1,12."
65,"Hands Glove Rubber",52732,GC-20260515-4131,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Pack,1.000,68400.00,61071.43,,,,,,,,2026-06-01,not_found,"FO Rp 68.400 belum cocok ke GR pusat ≤ 2026-06-01"
66,"Masker 3 Ply",52733,GC-20250620-3579,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Pack,4.000,29200.00,26071.43,GR-20260530-0010,2026-05-30,POF26051474,26000.00,Pack,26000.00,29200.00,2026-06-05,sell_line≈fo_stored,"FO simpan Rp 29.200 = jual +12% dari GR GR-20260530-0010 (2026-05-30), PO POF26051474, beli Rp 26.000/Pack (HPP Rp 26.000). Angka ~26.071 di laporan = FO÷1,12."
67,"HVS 1 Ply 75x65",54789,GC-20260403-9291,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,,,,,,,,,,,,,,"Tidak ada data FO/GR outlet"
68,"Label Preparation Roll",55500,GC-20260212-6194,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Roll,1.000,168100.00,150089.29,GR-20260603-0050,2026-06-03,POF26051479,150.00,Pcs,150000.00,168100.00,2026-06-03,sell_line≈fo_stored,"FO simpan Rp 168.100 = jual +12% dari GR GR-20260603-0050 (2026-06-03), PO POF26051479, beli Rp 150/Pcs (HPP Rp 150.000). Angka ~150.089 di laporan = FO÷1,12."
69,"Thermal Roll Steak house",52690,GC-20250620-5902,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Pcs,13.000,12700.00,11339.29,GR-20260601-0023,2026-06-01,POF26051458,11300.00,Pcs,11300.00,12700.00,2026-06-02,sell_line≈fo_stored,"FO simpan Rp 12.700 = jual +12% dari GR GR-20260601-0023 (2026-06-01), PO POF26051458, beli Rp 11.300/Pcs (HPP Rp 11.300). Angka ~11.339 di laporan = FO÷1,12."
(HPP). GR terbaru sekarang: GR-20260702-0010 HPP Rp 110.000."
